Link,Name,Weight,OS,Storage,Hits,Screen_size,Screen_resolution,RAM,SOC,Battery,net2g,gprstext,edge,year,status,dimensions,weight,sim,bodyother,displaytype,displaysize,displayresolution,os,chipset,cpu,memoryslot,internalmemory,cam1modules,cam1video,cam2modules,cam2video,wlan,bluetooth,gps,nfc,radio,usb,sensors,batdescription1,battalktime1,colors,price,review,Date,net3g,net4g,speed,gpu,cam1features,memoryother,featuresother,cam2features,optionalother,batstandby1,tbench,batlife,displayprotection,models,sar-eu,batmusicplayback1,displayother,sar-us
https://www.gsmarena.com/acer_chromebook_tab_10-9139.php,Acer Chromebook Tab 10,544.3g  9.9mm thickness,Chrome OS,32GB storage  microSDXC,304 423 hits,"9.7""",1536x2048 pixels,4 GB RAM,Rockchip RK3399,4500 mAh Li-Po, N/A,No,No,2018  March,Available. Released 2018  July,238.3 x 172.2 x 9.9 mm (9.38 x 6.78 x 0.39 in),544.3 g (1.20 lb),No,Stylus,IPS LCD,9.7 inches  291.4 cm (~71.0% screen-to-body ratio),1536 x 2048 pixels  4:3 ratio (~264 ppi density),Chrome OS,Rockchip RK3399,Hexa-core (4x Cortex-A53 & 2x Cortex-A72),microSDXC (dedicated slot),32GB 4GB RAM,5 MP,720p,2 MP,,Wi-Fi 802.11 b/g/n/ac  dual-band  Wi-Fi Direct,4.1  A2DP  LE,,No,No,USB Type-C 3.1,Accelerometer,Li-Po 4500 mAh  non-removable (34 Wh),Up to 9 h (multimedia),Black  Blue,About 330 EUR,With a 4:3 screen  this can easily be a worthy device for iPad users who want to try out Chrome OS. I just hope that Acer can update this device with the latest Mediatek Kompanio or Qualcomm Snapdragon PC chipset and give a QWERTY keyboard option while selling it for not more than $400.,28 Aug 2021,,,,,,,,,,,,,,,,,,
https://www.gsmarena.com/acer_iconia_talk_s-8306.php,Acer Iconia Talk S,260g  9.4mm thickness,Android 6.0,16GB/32GB storage  microSDXC,516 034 hits,"7.0""",720x1280 pixels,2 GB RAM,MT8735,3400 mAh Li-Ion,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,2016  August. Released 2016  October,Discontinued,191.7 x 101 x 9.4 mm (7.55 x 3.98 x 0.37 in),260 g (9.17 oz),Dual SIM (Micro-SIM/Nano-SIM),,IPS LCD,7.0 inches  135.1 cm (~69.8% screen-to-body ratio),720 x 1280 pixels  16:9 ratio (~210 ppi density),Android 6.0 (Marshmallow),Mediatek MT8735,Quad-core 1.3 GHz Cortex-A53,microSDXC (dedicated slot),16GB 2GB RAM  32GB 2GB RAM,13 MP  AF,1080p@30fps,2 MP,720p,Wi-Fi 802.11 a/b/g/n  Wi-Fi Direct  hotspot,4.0  A2DP,Yes  with A-GPS  GLONASS,No,FM radio,microUSB 2.0,Accelerometer  proximity,Li-Ion 3400 mAh  non-removable (12.92 Wh),Up to 9 h (multimedia),Black,About 170 EUR,GET one free,19 Nov 2020,HSDPA 850 / 1900 / 2100 ,1  3  7  8  20,HSPA 42.2/11.5 Mbps  LTE Cat4 150/50 Mbps,Mali-T720MP2,HDR  panorama,,,,,,,,,,,,,
https://www.gsmarena.com/acer_liquid_z6_plus-8305.php,Acer Liquid Z6 Plus,169g  8.5mm thickness,Android 6.0,32GB storage  microSDXC,675 154 hits,"5.5""",1080x1920 pixels,3 GB RAM,MT6753,4080 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,2016  August. Released 2016  December,Discontinued,153.8 x 75.6 x 8.5 mm (6.06 x 2.98 x 0.33 in),169 g (5.96 oz),Single SIM (Micro-SIM) or Hybrid Dual SIM (Micro-SIM  dual stand-by),,IPS LCD,5.5 inches  83.4 cm (~71.7% screen-to-body ratio),1080 x 1920 pixels  16:9 ratio (~401 ppi density),Android 6.0 (Marshmallow),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,microSDXC (uses shared SIM slot),32GB 3GB RAM,13 MP  AF,1080p@30fps,5 MP,,Wi-Fi 802.11 b/g/n  Wi-Fi Direct  hotspot,4.0  A2DP,Yes  with A-GPS,No,FM radio,microUSB 2.0,Fingerprint (front-mounted)  accelerometer  proximity,Li-Po 4080 mAh  non-removable,,Black  White,About 250 EUR,arkinwhere  10 Aug 20204080 mAh in 2016  how?!By science,02 Dec 2020, HSDPA, LTE (unspecified),HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Mali-T720MP3,LED flash  HDR  panorama,,,,,,,,,,,,,
https://www.gsmarena.com/acer_liquid_z6-8304.php,Acer Liquid Z6,126g  8.5mm thickness,Android 6.0,8GB storage  microSDXC,262 948 hits,"5.0""",720x1280 pixels,1 GB RAM,MT6737,2000 mAh Li-Ion,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,2016  August. Released 2016  December,Discontinued,145.5 x 72.5 x 8.5 mm (5.73 x 2.85 x 0.33 in),126 g (4.44 oz),Single SIM (Micro-SIM) or Dual SIM (Micro-SIM  dual stand-by),,IPS LCD,5.0 inches  68.9 cm (~65.3% screen-to-body ratio),720 x 1280 pixels  16:9 ratio (~294 ppi density),Android 6.0 (Marshmallow),Mediatek MT6737 (28 nm),Quad-core 1.25 GHz Cortex-A53,microSDXC,8GB 1GB RAM,8 MP  AF,Yes,2 MP,,Wi-Fi 802.11 b/g/n  hotspot,4.0  A2DP,Yes  with A-GPS,No,FM radio,microUSB 2.0,Accelerometer  proximity,Li-Ion 2000 mAh  removable,,Black  White,About 120 EUR,Edge of the screen fell off by itself  part by part. It left some unprotected areas of glass/display on my screen so when it hit the sofa screen cracked. Yea  its truth phone fell but I'm sure if these plastic defenders of screen didn't fall of by themself my screen wouldn't have cracked. Must say they fell of while I had a protection case... Dissapointed by quality of external parts. Other then that  decent phone  I like it and I generally enjoy using it.,25 Sep 2019, HSDPA, LTE (unspecified),HSPA 42.2/5.76 Mbps  LTE,Mali-T720MP2,LED flash  HDR  panorama,eMMC 5.0,,,,,,,,,,,,
https://www.gsmarena.com/acer_iconia_tab_10_a3_a40-8080.php,Acer Iconia Tab 10 A3-A40,8.9mm thickness,Android 6.0,16GB/32GB/64GB storage  microSDXC,353 463 hits,"10.1""",1920x1200 pixels,2 GB RAM,MT8163A,6100 mAh Li-Ion, N/A,No,No,2016  April. Released 2016  June,Discontinued,259 x 167 x 8.9 mm (10.20 x 6.57 x 0.35 in),-,No,,IPS LCD,10.1 inches  295.8 cm (~68.4% screen-to-body ratio),1920 x 1200 pixels  16:10 ratio (~224 ppi density),Android 6.0 (Marshmallow),Mediatek MT8163A,Quad-core 1.3 GHz Cortex-A53,microSDXC (dedicated slot),16GB 2GB RAM  32GB 2GB RAM  64GB 2GB RAM,5 MP,1080p@30fps,2 MP,,Wi-Fi 802.11 a/b/g/n/ac  dual-band  hotspot,4.0  A2DP,,No,No,microUSB 2.0,Accelerometer,Li-Ion 6100 mAh  non-removable,,Black,About 230 EUR,Sea  12 Apr 2021I don't know why my battery keeps draining fast and I just got it new. What can I do?Same issue i encounter.. even i close apps and uninstall un usable apps  and make the phone in airplane mode  and battery saver its keep draining. This phone is so bad.,19 Oct 2021,,,,Mali-T720 MP2,,,HDMI,,,,,,,,,,,
https://www.gsmarena.com/acer_liquid_x2-8034.php,Acer Liquid X2,166g  8.5mm thickness,Android 5.1,32GB storage  microSDHC,616 217 hits,"5.5""",720x1280 pixels,3 GB RAM,MT6753,4020 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 ,,,2015  April. Released 2016  February,Discontinued,153.3 x 78.8 x 8.5 mm (6.04 x 3.10 x 0.33 in),166 g (5.86 oz),Triple SIM (Micro-SIM),,IPS LCD,5.5 inches  83.4 cm (~69.0% screen-to-body ratio),720 x 1280 pixels  16:9 ratio (~267 ppi density),Android 5.1 (Lollipop),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,microSDHC (dedicated slot),32GB 3GB RAM,13 MP  f/1.8  AF,1080p@30fps,13 MP  f/1.8  AF,,Wi-Fi 802.11 b/g/n  hotspot,4.0  A2DP  LE,Yes  with A-GPS,No,FM radio,microUSB 2.0,Accelerometer  proximity  compass,Li-Po 4020 mAh  removable,Up to 23 h (3G),Black  Gold,About 230 EUR,I still use this phone as backup.,03 Oct 2021,HSDPA 900 / 1900 / 2100 - Europe  Taiwan, LTE 800 / 1800 / 2100 / 2600 - Europe,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Mali-T720MP4,LED flash,,,LED flash,24-bit/192kHz audio,Up to 820 h (3G),  Basemark OS II 2.0: 825Basemark X: 4300,  ,,,,,,
https://www.gsmarena.com/acer_liquid_jade_2-7956.php,Acer Liquid Jade 2,150g  8.4mm thickness,Android 6.0,32GB storage  microSDXC,357 183 hits,"5.5""",1080x1920 pixels,3 GB RAM,Snapdragon 808,3000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,2016  February,Discontinued,156.6 x 75.9 x 8.4 mm (6.17 x 2.99 x 0.33 in),150 g (5.29 oz),Dual SIM (Nano-SIM  dual stand-by),,Super AMOLED,5.5 inches  83.4 cm (~70.2% screen-to-body ratio),1080 x 1920 pixels  16:9 ratio (~401 ppi density),Android 6.0 (Marshmallow),Qualcomm MSM8992 Snapdragon 808 (20 nm),Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),microSDXC,32GB 3GB RAM,21 MP  AF,4K@30fps  1080p@30fps,8 MP,1080p@30fps,Wi-Fi 802.11 a/b/g/n/ac  dual-band  Wi-Fi Direct  hotspot,4.0  A2DP  LE,Yes  with A-GPS,No,FM radio,microUSB 2.0,Accelerometer  gyro  proximity  compass,Li-Po 3000 mAh  non-removable,,Black,,Why is this not available in Belgium,28 Dec 2017,HSDPA 900 / 2100 , LTE (unspecified),HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Adreno 418,Dual-LED flash  HDR  panorama,eMMC 5.0,,,,,,,Corning Gorilla Glass 4,,,,,
https://www.gsmarena.com/acer_liquid_zest_plus-8059.php,Acer Liquid Zest Plus,10mm thickness,Android 6.0,16GB storage  microSDXC,463 804 hits,"5.5""",720x1280 pixels,2 GB RAM,MT6735,5000 mAh Li-Ion,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,2016  April. Released 2016  July,Discontinued,154 x 77 x 10 mm (6.06 x 3.03 x 0.39 in),-,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM  dual stand-by),,IPS LCD,5.5 inches  83.4 cm (~70.3% screen-to-body ratio),720 x 1280 pixels  16:9 ratio (~267 ppi density),Android 6.0 (Marshmallow),Mediatek MT6735 (28 nm),Quad-core 1.3 GHz Cortex-A53,microSDXC (dedicated slot),16GB 2GB RAM,13 MP  PDAF  Laser AF,1080p@30fps,5 MP,,Wi-Fi 802.11 b/g/n  hotspot,4.0  A2DP,Yes  with A-GPS,No,FM radio,microUSB 2.0,Accelerometer  proximity  compass,Li-Ion 5000 mAh  non-removable,,Blue  White,About 200 EUR,I have it for 4 years. Very good  reliable  solid phone. The battery lasts long  at the beginning 8-10 days  now 4-5 days. Never used it for games  this is a phone  not a game console.,15 Oct 2020, HSDPA, LTE (unspecified),HSPA 42.2/5.76 Mbps  LTE,Mali-T720MP2,LED flash  HDR  panorama,,,,,,,,,,,,,
https://www.gsmarena.com/acer_liquid_zest-7955.php,Acer Liquid Zest,125g  8.4mm thickness,Android 6.0,8GB storage  microSDHC,729 594 hits,"5.0""",720x1280 pixels,1 GB RAM,MT6580,2000 mAh Li-Ion,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,2016  February. Released 2016  April,Discontinued,145.7 x 71.2 x 8.4 mm (5.74 x 2.80 x 0.33 in),125 g (4.41 oz),Single SIM (Micro-SIM) or Dual SIM (Micro-SIM  dual stand-by),,IPS LCD,5.0 inches  68.9 cm (~66.4% screen-to-body ratio),720 x 1280 pixels  16:9 ratio (~294 ppi density),Android 6.0 (Marshmallow),Mediatek MT6580 - Z525Mediatek MT6735 - Z525,Quad-core 1.3 GHz - Z525Quad-core 1.0 GHz - Z528,microSDHC (dedicated slot),8GB 1GB RAM,8 MP  f/2.0  AF,1080p@30fps,5 MP,,Wi-Fi 802.11 b/g/n  hotspot,4.0  A2DP,Yes  with A-GPS,No,FM radio,microUSB 2.0,Accelerometer  proximity  compass,Li-Ion 2000 mAh  removable,,Black  White,About 110 EUR,"zieg  16 Mar 2019Is the phone Acer Liquid Zest 4G  micro USB port MHL supported?  Or how many pin is it's micro... moreAnother issue of OTG functionality . . Besides product partnership with another technology as DLNA or as the +ANT is specific of built in features so serving such specifc benefits you are asking  in pertaining or so querrying about . .
 
Again this is priduct specific features cannot be remedied by any PlayStore app nuisances. .ðŸ˜”ðŸ˜©ðŸ˜¡ðŸ˜ 
",20 May 2020,HSDPA 850 / 900 / 1900 / 2100 , LTE (unspecified),HSPA  LTE Cat4 150/50 Mbps,Mali-400MP2 - Z525Mali-T720MP2 - Z528,LED flash  HDR  panorama,,,,,,,,,,,,,
https://www.gsmarena.com/acer_predator_8-7750.php,Acer Predator 8,353.8g  8.6mm thickness,Android 5.0,32GB/64GB storage  microSDXC,773 535 hits,"8.0""",1920x1200 pixels,2 GB RAM,Intel Atom x7-Z8700,4420 mAh Li-Po, N/A,No,No,2015  September. Released 2015  November,Discontinued,217.9 x 127 x 8.6 mm (8.58 x 5.0 x 0.34 in),353.8 g (12.49 oz),No,,IPS LCD,8.0 inches  185.6 cm (~67.1% screen-to-body ratio),1920 x 1200 pixels  16:10 ratio (~283 ppi density),Android 5.0 (Lollipop),Intel Atom x7-Z8700,Quad-core 1.6 GHz,microSDXC (dedicated slot),32GB 2GB RAM  64GB 2GB RAM,5 MP,1080p@30fps,2 MP,,Wi-Fi 802.11 a/b/g/n,4.0  A2DP  LE,,No,No,microUSB 2.0,Yes,Li-Po 4420 mAh  non-removable,Up to 8 h 30 min,Black/Silver,About 350 EUR,Anonymous  09 Jun 2020my battery of this device is broken. Can i replace the battery with 5000mAh since Li-Po 4420mA... moreYes you but the same battery mark,14 Jan 2021,,,,,,,,,,,,,,GT-810-15NC,,,,
